+PEUGEOT 208 5 doors 1.2 PureTech 5MT Low Emissions (82),L3,1199,60 @ 5750,118 @ 2750,Multipoint Injection,Gasoline,99,175,12.2 s,Front Wheel Drive,5-speed manual,-,-,-,3965 mm,1740 mm,1461 mm,"1,466/1,450 mm",2537 mm,-,11 cuFT,311 L,0.31,1035 kg,-
+PEUGEOT 208 5 doors 1.2 PureTech 6AT (110),L3,1199,81 @ 5500,205 @ 1500,Turbocharged Direct Injection,Gasoline,104,195,9.8 s,Front Wheel Drive,6-speed automatic,5.7 L/100Km,3.8 L/100Km,4.5 L/100Km,3965 mm,1740 mm,1461 mm,"1,466/1,450 mm",2537 mm,-,11 cuFT,311 L,0.31,1155 kg,-
+PEUGEOT 208 5 doors 1.6 THP 6MT (165),L4,1598,122 @ 6000,240 @ 1750-4000,Turbocharged Direct Injection,Gasoline,129,217,7.4 s,Front Wheel Drive,6-speed manual,7.1 L/100Km,4.6 L/100Km,5.6 L/100Km,3965 mm,1740 mm,1461 mm,"1,466/1,450 mm",2537 mm,-,11 cuFT,311 L,0.31,1215 kg,-
+PEUGEOT 208 5 doors 1.6 BlueHDI 5MT (100),L4,1560,74 @ 3750,254 @ 1750,Turbocharged Common Rail,Diesel,87,187,-,Front Wheel Drive,5-speed manual,3.8 L/100Km,3.2 L/100Km,3.4 L/100Km,3965 mm,1740 mm,1461 mm,"1,466/1,450 mm",2537 mm,-,11 cuFT,311 L,0.31,1165 kg,-
+PEUGEOT 208 5 doors 1.6 BlueHDI 5MT (75),L4,1560,55 @ 3500,230 @ 1750,Turbocharged Common Rail,Diesel,90,171,13.3 s,Front Wheel Drive,5-speed manual,4.2 L/100Km,3 L/100Km,3.5 L/100Km,3965 mm,1740 mm,1461 mm,"1,466/1,450 mm",2537 mm,-,11 cuFT,311 L,0.31,1140 kg,-
+PEUGEOT 208 5 doors 1.6 BlueHDI 6MT (120),L4,1560,88 @ 3500,285 @ 1750,Turbocharged Common Rail,Diesel,94,190,9.4 s,Front Wheel Drive,6-speed manual,4.4 L/100Km,3.2 L/100Km,3 L/100Km,3965 mm,1740 mm,1461 mm,"1,466/1,450 mm",2537 mm,-,11 cuFT,311 L,0.31,1190 kg,-
+RENAULT Grand Scenic 1.2 Tce 6MT (115),L4,1199,84.6 @ 4500,190 @ 2000,Turbocharged Direct Injection,Gasoline,-,-,Front Wheel Drive,6-speed manual,-,-,-,4633 mm,1864 mm,1661 mm,"1,595/1,582 mm",2804 mm,160 mm,25.4 cuFT,719 L,-,-,-
+RENAULT Grand Scenic 1.2 TCe 6MT (130),L4,1199,95.6 @ 5500,205 @ 2000,Turbocharged Direct Injection,Gasoline,-,-,Front Wheel Drive,6-speed manual,-,-,-,4633 mm,1864 mm,1661 mm,"1,595/1,582 mm",2804 mm,160 mm,25.4 cuFT,719 L,-,-,-
+RENAULT Grand Scenic 1.5 dCi 6MT (110),L4,1461,80.9 @ 4000,260 @ 1750,Turbocharged Common Rail,Diesel,-,-,Front Wheel Drive,6-speed manual,-,-,-,4633 mm,1864 mm,1661 mm,"1,595/1,582 mm",2804 mm,160 mm,25.4 cuFT,719 L,-,-,-
+RENAULT Grand Scenic 1.5 dCi 7AT (110),L4,1461,80.9 @ 4000,260 @ 1750,Turbocharged Common Rail,Diesel,-,-,Front Wheel Drive,7-speed automatic (EDC),-,-,-,4633 mm,1864 mm,1661 mm,"1,595/1,582 mm",2804 mm,160 mm,25.4 cuFT,719 L,-,-,-
